data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,beta,gamma,n,tau,dt,T,median_mse_one_step_ahead,median_mse_autonomous,n_points,ar_coeffs,ma_coeffs
Classic_Chaos_(tau=17),0.1,1e-08,4,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0007200531113496676,4769.946665225264,,,
Classic_Chaos_(tau=17),0.1,1e-08,4,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0006925129390305,2176.2961504596733,,,
Classic_Chaos_(tau=17),0.1,1e-08,4,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0007739490807931952,877.5132317279293,,,
Classic_Chaos_(tau=17),0.1,1e-08,4,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0007960291325890545,1242.331809382879,,,
Classic_Chaos_(tau=17),0.1,1e-08,5,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0006221015025054778,7508.013730952294,,,
Classic_Chaos_(tau=17),0.1,1e-08,5,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0006448445265928088,2955.2781172478126,,,
Classic_Chaos_(tau=17),0.1,1e-08,5,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0006099417039998041,659.0833215658522,,,
Classic_Chaos_(tau=17),0.1,1e-08,5,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.000705443637238834,1011.2220429695889,,,
Classic_Chaos_(tau=17),0.1,1e-08,6,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0005352859529091554,12498.958839391138,,,
Classic_Chaos_(tau=17),0.1,1e-08,6,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0004828772207863177,1694.179918200218,,,
Classic_Chaos_(tau=17),0.1,1e-08,6,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0005097408148373781,1643.9906914260807,,,
Classic_Chaos_(tau=17),0.1,1e-08,6,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0005485545386522374,1353.9960414560505,,,
Classic_Chaos_(tau=17),0.1,1e-08,7,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0004707789159813015,6994.412526055313,,,
Classic_Chaos_(tau=17),0.1,1e-08,7,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.00038202163094360603,4234.301016989112,,,
Classic_Chaos_(tau=17),0.1,1e-08,7,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.00036539183874287237,2066.6915734106774,,,
Classic_Chaos_(tau=17),0.1,1e-08,7,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0003825961401682446,1331.682670620102,,,
Classic_Chaos_(tau=17),0.1,1e-08,8,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.00030380360665521955,8054.734636070912,,,
Classic_Chaos_(tau=17),0.1,1e-08,8,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0002774626263643908,6961.63610812597,,,
Classic_Chaos_(tau=17),0.1,1e-08,8,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.00028068360839463935,1604.9175013115896,,,
Classic_Chaos_(tau=17),0.1,1e-08,8,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.0002855559509151167,1270.3007463609051,,,
Classic_Chaos_(tau=17),0.5,1e-08,4,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,0.00010180634701390876,542.4584960671153,,,
Classic_Chaos_(tau=17),0.5,1e-08,4,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,8.371676259033396e-05,64.07587845381953,,,
Classic_Chaos_(tau=17),0.5,1e-08,4,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,8.904367596106451e-05,63.84810768082538,,,
Classic_Chaos_(tau=17),0.5,1e-08,4,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,7.640297549155456e-05,75.85712559783562,,,
Classic_Chaos_(tau=17),0.5,1e-08,5,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,9.641484084741133e-05,326.4268772940311,,,
Classic_Chaos_(tau=17),0.5,1e-08,5,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,5.581602078110263e-05,85.01148420086328,,,
Classic_Chaos_(tau=17),0.5,1e-08,5,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,5.977987302803129e-05,59.73117245004967,,,
Classic_Chaos_(tau=17),0.5,1e-08,5,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,5.1711937850037946e-05,49.41819162740054,,,
Classic_Chaos_(tau=17),0.5,1e-08,6,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,5.900154759180389e-05,695.1113659787112,,,
Classic_Chaos_(tau=17),0.5,1e-08,6,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,4.165727540984246e-05,79.93631525511738,,,
Classic_Chaos_(tau=17),0.5,1e-08,6,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,3.8878403732014017e-05,62.821618320736164,,,
Classic_Chaos_(tau=17),0.5,1e-08,6,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,4.2180335194533804e-05,70.71849769778842,,,
Classic_Chaos_(tau=17),0.5,1e-08,7,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,8.535744668577007e-05,743.0308976687171,,,
Classic_Chaos_(tau=17),0.5,1e-08,7,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,3.7568292107064824e-05,156.7074950633148,,,
Classic_Chaos_(tau=17),0.5,1e-08,7,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,3.307509451366751e-05,84.05982466753866,,,
Classic_Chaos_(tau=17),0.5,1e-08,7,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.7717744807611127e-05,54.41444714761105,,,
Classic_Chaos_(tau=17),0.5,1e-08,8,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,4.946188882350049e-05,775.5599130600433,,,
Classic_Chaos_(tau=17),0.5,1e-08,8,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.355033273908925e-05,221.57585361882278,,,
Classic_Chaos_(tau=17),0.5,1e-08,8,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.8492219995746657e-05,78.5026289619789,,,
Classic_Chaos_(tau=17),0.5,1e-08,8,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.6421444700808282e-05,46.33278390989297,,,
Classic_Chaos_(tau=17),0.99,1e-08,4,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.4976412768769793e-05,35.04140710683133,,,
Classic_Chaos_(tau=17),0.99,1e-08,4,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,1.1788312658835374e-05,6.514138180327032,,,
Classic_Chaos_(tau=17),0.99,1e-08,4,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,1.5949533877618877e-05,11.47992219795187,,,
Classic_Chaos_(tau=17),0.99,1e-08,4,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,9.12676066860605e-06,14.711088312008362,,,
Classic_Chaos_(tau=17),0.99,1e-08,5,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.2506301314293944e-05,56.410368325965145,,,
Classic_Chaos_(tau=17),0.99,1e-08,5,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,6.6090726691352905e-06,23.240646687640616,,,
Classic_Chaos_(tau=17),0.99,1e-08,5,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,7.068780871900505e-06,16.698505714544083,,,
Classic_Chaos_(tau=17),0.99,1e-08,5,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,8.059379751524889e-06,13.327054825312526,,,
Classic_Chaos_(tau=17),0.99,1e-08,6,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.2595730340985798e-05,223.29320018479072,,,
Classic_Chaos_(tau=17),0.99,1e-08,6,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,6.148363606634356e-06,22.92614992125867,,,
Classic_Chaos_(tau=17),0.99,1e-08,6,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,7.887516183743043e-06,21.419255034378384,,,
Classic_Chaos_(tau=17),0.99,1e-08,6,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,1.0384000780465633e-05,23.086558967409488,,,
Classic_Chaos_(tau=17),0.99,1e-08,7,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,3.342355047560383e-05,250.58073592682712,,,
Classic_Chaos_(tau=17),0.99,1e-08,7,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,1.1015576163558982e-05,48.209430785742846,,,
Classic_Chaos_(tau=17),0.99,1e-08,7,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,9.554571671671358e-06,21.485368882775713,,,
Classic_Chaos_(tau=17),0.99,1e-08,7,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,6.865177801762948e-06,16.01169043416861,,,
Classic_Chaos_(tau=17),0.99,1e-08,8,1,0,0.2,0.1,10.0,17.0,1.0,2000.0,2.2728369953418503e-05,169.13976991122985,,,
Classic_Chaos_(tau=17),0.99,1e-08,8,2,0,0.2,0.1,10.0,17.0,1.0,2000.0,5.817951798950033e-06,51.171469821830556,,,
Classic_Chaos_(tau=17),0.99,1e-08,8,3,0,0.2,0.1,10.0,17.0,1.0,2000.0,1.0625880407236534e-05,24.330683494572675,,,
Classic_Chaos_(tau=17),0.99,1e-08,8,4,0,0.2,0.1,10.0,17.0,1.0,2000.0,7.55169364250831e-06,16.605520162323852,,,
Complex_Chaos_(tau=30),0.1,1e-08,4,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0034438577813241675,5660.98274373421,,,
Complex_Chaos_(tau=30),0.1,1e-08,4,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0034132137093373124,2558.0608584429715,,,
Complex_Chaos_(tau=30),0.1,1e-08,4,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0033886290322417156,1571.6173911479566,,,
Complex_Chaos_(tau=30),0.1,1e-08,4,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0031199065445023356,1102.1678419899442,,,
Complex_Chaos_(tau=30),0.1,1e-08,5,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0028713678677520986,4723.066217729298,,,
Complex_Chaos_(tau=30),0.1,1e-08,5,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0029319162317625264,2965.4220871128914,,,
Complex_Chaos_(tau=30),0.1,1e-08,5,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0029380728971989153,1309.5199920854932,,,
Complex_Chaos_(tau=30),0.1,1e-08,5,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002812564746663173,2614.015697626191,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026867542457137206,15854.364650847087,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002605370652567674,6762.890473097193,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026122870077044703,2491.9863298799187,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026948639814540665,2623.175672671827,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0024701099821501952,12396.420274448135,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00242047869375001,4922.73135515541,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002387660346811912,2298.2783578909853,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002411030596287989,1969.386586473791,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002256864429263618,10380.736797566558,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0022207651276905625,4351.007445917087,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002085580003291665,3769.5542307182254,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002100350123572157,2242.258756518239,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000340730700758511,640.1850644158097,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032946225684151923,66.67693994737729,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0003299628459458104,56.3583448036411,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032138310554088854,65.20841692686125,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032610985777479194,173.5249641467651,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00030674075806424875,79.24164398438546,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0003157501120714399,49.61822639533857,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00031221725422828404,45.07586766070693,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000305217306724753,560.1970489187701,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00028921769956566183,117.09287442589672,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002930797268602011,55.58088154108558,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00029774923172506,73.76451562113243,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032128115598974844,840.8308541252378,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002763152274338099,190.8721615902052,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000279019261524141,67.6428852146041,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00027510849474107237,46.19630155410564,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002813171034219703,779.5785417084037,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002561576883882274,180.08945254520276,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00026009565033184524,87.8793628310702,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002566757666536426,55.97398541402985,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.83283522034308e-05,25.140698607322665,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.74430432591319e-06,0.20328176438964043,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,9.999208794304305e-06,0.13416348357057264,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.17774417792729e-06,18.630261064162642,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.5042623200974225e-05,29.821227123622993,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.146113522036584e-06,14.520712835448016,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,7.018137630799496e-06,16.28268870837182,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.35507271451955e-06,11.90954868851635,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.808848291463585e-05,91.81802812103926,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,4.617003162441564e-06,28.139465559780746,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.195878939637692e-06,8.950333215232742,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,8.53575105749e-06,19.338643110399023,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,2.9551333638130224e-05,326.72458799835175,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,9.671628137620642e-06,44.09798243316113,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,8.211819793479367e-06,16.90721240903439,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.746717596713209e-06,15.289674513360879,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,2.1608437475329532e-05,119.96065710399145,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.243809498419229e-06,36.94525030919705,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.0758191666997238e-05,28.351593451317253,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,7.060087199243956e-06,14.123079432911494,,,
Hyperchaotic_(tau=100),0.1,1e-08,4,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.00600414941312189,6905.0957736570135,,,
